Substância Ativa/DCI,Nome do Medicamento,Forma Farmacêutica,Dosagem,Titular de AIM,Genérico,Estado da AIM,Comercialização
Ceftriaxona,Medaxone plusolv,Pó e solvente para solução injetável ou para perfusão,1000 mg/10 ml,Medochemie Ltd.,Sim,Autorizado,Comercializado
Carvedilol,Carvedilol Mylan,Comprimido revestido por película,25 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Indacaterol,Oslif Breezhaler,"Pó para inalação, cápsula",150 µg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Indacaterol,Oslif Breezhaler,"Pó para inalação, cápsula",300 µg,Novartis Europharm Limited,Não,Autorizado,Comercializado
Pioglitazona,Pioglitazona Aurobindo,Comprimido,45 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Risperidona,Risperidona Ritisca,Comprimido revestido por película,3 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Risperidona,Risperidona Ritisca,Comprimido revestido por película,4 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Pioglitazona,Pioglitazona Aurobindo,Comprimido,15 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Pioglitazona,Pioglitazona Aurobindo,Comprimido,30 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Metotrexato,Nordimet,Solução injetável em seringa pré-cheia,17.5 mg/0.7 ml,Nordic Group B.V.,Não,Autorizado,Não Comercializado
Levetiracetam,Levetiracetam Accord,Solução oral,100 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Voriconazol,Voriconazol Mylan,Comprimido revestido por película,50 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Defibrotido,Defitelio,Concentrado para solução para perfusão,80 mg/ml,Gentium S.r.I.,Não,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Teva,Comprimido,10 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Macrogol,Casenlax,Pó para solução oral em saqueta,4000 mg,"Casen Recordati, S.L.",Não,Autorizado,Comercializado
Fluticasona + Salmeterol,Brisomax Inalador,Suspensão pressurizada para inalação,250 µg/dose + 25 µg/dose,"Bial - Portela & Cª, S.A.",Não,Autorizado,Não Comercializado
Amlodipina + Valsartan,Amlodipina + Valsartan Aurovitas,Comprimido revestido por película,5 mg + 160 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Dutasterida,Dutasterida Bluesar,Cápsula mole,0.5 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Sandoz,Comprimido,5 mg,Sandoz GmbH,Sim,Autorizado,Não Comercializado
Fluticasona + Salmeterol,Brisomax Inalador,Suspensão pressurizada para inalação,125 µg/dose + 25 µg/dose,"Bial - Portela & Cª, S.A.",Não,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Sandoz,Comprimido,10 mg,Sandoz GmbH,Sim,Autorizado,Não Comercializado
Aripiprazol,Aripiprazol Sandoz,Comprimido,15 mg,Sandoz GmbH,Sim,Autorizado,Não Comercializado
Hidrocortisona,Hidrocortisona Generis,Comprimido,10 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Treprostinilo,Tresuvi,Solução para perfusão,5 mg/ml,Amomed Pharma GmbH,Sim,Autorizado,Comercializado
Treprostinilo,Tresuvi,Solução para perfusão,10 mg/ml,Amomed Pharma GmbH,Sim,Autorizado,Comercializado
Dextrometorfano,Toceliv,Xarope,2 mg/ml,"Laboratórios Basi - Indústria Farmacêutica, S.A",Não,Autorizado,Comercializado
Cinarizina,Stugeron,Suspensão oral,75 mg/ml,"Janssen Farmacêutica Portugal, Lda.",Não,Autorizado,Não Comercializado
Carbonato de cálcio + Colecalciferol,Calcitab D,Comprimido orodispersível,1500 mg + 400 U.I.,"Italfarmaco - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Ácido acetilsalicílico + Atorvastatina + Ramipril,Trinomia,Cápsula,100 mg + 20 mg + 5 mg,Ferrer Internacional S.A.,Não,Autorizado,Comercializado
Mianserina,Tolvon,Comprimido revestido,30 mg,"Organon Portugal, Sociedade Unipessoal, Lda.",Não,Autorizado,Comercializado
Aminoácidos + Electrólitos + Glucose + Lípidos,Numeta G16%E,Emulsão para perfusão,Associação,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Ácido acetilsalicílico + Atorvastatina + Ramipril,Trinomia,Cápsula,100 mg + 20 mg + 10 mg,Ferrer Internacional S.A.,Não,Autorizado,Comercializado
Nimodipina,Nimodipina Tecnilor,Comprimido revestido,30 mg,"Farma 1000 - Prod. Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Fluoxetina,Fluoxetina Tuneluz,Cápsula,20 mg,"Baldacci - Portugal, S.A.",Sim,Autorizado,Comercializado
Alprazolam,Xanax,Comprimido,1 mg,Upjohn EESV,Não,Autorizado,Comercializado
Pantoprazol,Pantoprazol Mepha,Comprimido gastrorresistente,20 mg,"Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Pantoprazol,Pantoprazol Mepha,Comprimido gastrorresistente,40 mg,"Mepha - Investigação, Desenvolvimento e Fabricação Farmacêutica, Lda.",Sim,Autorizado,Comercializado
Flumazenilo,Flumazenilo Accord,Solução injetável,0.1 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Ácido acetilsalicílico,Aspirina Direkt,Granulado,500 mg,"Bayer Portugal, Lda.",Não,Autorizado,Não Comercializado
Domperidona,Domperidona Baldacci,Comprimido revestido por película,10 mg,"Baldacci - Portugal, S.A.",Sim,Autorizado,Comercializado
Ramipril,"Ramipril Ratiopharm 2,5 mg Comprimidos",Comprimido,2.5 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Gabapentina,Gabapentina Teva,Cápsula,300 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Escitalopram,Escitalopram Aurovitas,Comprimido revestido por película,10 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Rasagilina,Rasagilina Aristo,Comprimido,1 mg,Aristo Pharma GmbH,Sim,Autorizado,Comercializado
Folitropina alfa,Gonal-F,Pó e solvente para solução injetável,450 U.I./0.75 ml,Merck Europe B.V.,Não,Autorizado,Não Comercializado
Zonisamida,Zonisamida Aristo,Cápsula,100 mg,Aristo Pharma GmbH,Sim,Autorizado,Não Comercializado
Cafeína,Peyona,Solução para perfusão e para solução oral,20 mg/ml,"Chiesi Farmaceutici, S.p.A.",Não,Autorizado,Não Comercializado
Tecnécio (99mTc) macrosalb,Macrotec,Pó para solução injetável,2 mg,"GE Healthcare, S.r.l",Não,Autorizado,Não Comercializado
Sildenafil,Revatio,Comprimido revestido por película,20 mg,Upjohn EESV,Não,Autorizado,Comercializado
Doxorrubicina,Zolsketil pegylated liposomal,Concentrado para dispersão para perfusão,2 mg/ml,"Accord Healthcare, S.L.U.",Não,Autorizado,Comercializado
"Vacina contra a difteria, o tétano, a tosse convulsa e a poliomielite",Infanrix Tetra,Suspensão injetável em seringa pré-cheia,Associação,"SmithKline & French Portuguesa - Produtos Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Macrogol + Bicarbonato de sódio + Cloreto de potássio + Cloreto de sódio,Molaxole,Pó para solução oral,Associação,"Mylan, Lda.",Sim,Autorizado,Comercializado
Ácido alendrónico + Colecalciferol,Ácido alendrónico + Colecalciferol Generis,Comprimido,70 mg + 2800 U.I.,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Rivastigmina,Rivastigmina 1A Pharma,Cápsula,6 mg,1 A Pharma GmbH,Não,Autorizado,Não Comercializado
Daptomicina,Cubicin,Pó para solução injetável ou para perfusão,350 mg,Merck Sharp & Dohme B.V.,Não,Autorizado,Comercializado
Levonorgestrel,Ivolen,Comprimido,1.5 mg,"Cuidafarma, Lda.",Sim,Autorizado,Comercializado
Lanadelumab,Takhzyro,Solução injetável em seringa pré-cheia,300 mg/2 ml,Takeda Pharmaceuticals International AG Ireland Branch,Não,Autorizado,Comercializado
Fingolimod,Fingolimod Tecnigen,Cápsula,0.5 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Não Comercializado
Milnaciprano,Ixel,Cápsula,25 mg,"Pierre Fabre Médicament Portugal, Lda.",Não,Autorizado,Não Comercializado
Milnaciprano,Ixel,Cápsula,50 mg,"Pierre Fabre Médicament Portugal, Lda.",Não,Autorizado,Não Comercializado
Candesartan + Hidroclorotiazida,Hytacand,Comprimido,8 mg + 12.5 mg,Cheplapharm Arzneimittel GmbH,Não,Autorizado,Não Comercializado
Ritonavir,Ritonavir Sandoz,Comprimido revestido por película,100 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Candesartan + Hidroclorotiazida,Blopress,Comprimido,8 mg + 12.5 mg,"Laboratório Medinfar - Produtos Farmacêuticos, S.A.",Não,Autorizado,Não Comercializado
Factor VIII da coagulação humana,Beriate,Pó e solvente para solução injetável ou para perfusão,500 U.I./5 ml,CSL Behring GmbH,Não,Autorizado,Não Comercializado
Irbesartan,Irbesartan ToLife,Comprimido,300 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Não Comercializado
Ácido tranexâmico,Ácido Tranexâmico Accord,Solução injetável,100 mg/ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Levocetirizina,Levocetirizina Krka,Comprimido revestido por película,5 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Sim,Autorizado,Comercializado
Quetiapina,Quetiapina Farmoz,Comprimido revestido por película,25 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Aripiprazol,Aripiprazol Sandoz,Solução oral,1 mg/ml,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Quetiapina,Quetiapina Farmoz,Comprimido revestido por película,100 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Quetiapina,Quetiapina Farmoz,Comprimido revestido por película,200 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Quetiapina,Quetiapina Farmoz,Comprimido revestido por película,300 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Treprostinilo,Tresuvi,Solução para perfusão,2.5 mg/ml,Amomed Pharma GmbH,Sim,Autorizado,Comercializado
Ácido acetilsalicílico + Atorvastatina + Ramipril,Trinomia,Cápsula,100 mg + 20 mg + 2.5 mg,Ferrer Internacional S.A.,Não,Autorizado,Comercializado
Prucaloprida,Resolor,Comprimido revestido por película,1 mg,Takeda Pharmaceuticals International AG Ireland Branch,Não,Autorizado,Não Comercializado
Venlafaxina,Venlafaxina Aurovitas,Comprimido,37.5 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Prucaloprida,Resolor,Comprimido revestido por película,2 mg,Takeda Pharmaceuticals International AG Ireland Branch,Não,Autorizado,Não Comercializado
Venlafaxina,Venlafaxina Aurovitas,Comprimido,75 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Aceclofenac,Aceclofenac Mylan,Comprimido revestido por película,100 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Ezetimiba,Ezetimiba toLife,Comprimido,10 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Comercializado
Risperidona,Risperidona Krka,Comprimido revestido por película,1 mg,"KRKA Farmacêutica, Sociedade Unipessoal, Lda.",Sim,Autorizado,Comercializado
Anastrozol,Anastrozol Teva,Comprimido revestido por película,1 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Valsartan,Valsartan Teva,Comprimido revestido por película,320 mg,"Teva Pharma - Produtos Farmacêuticos, Lda.",Sim,Autorizado,Não Comercializado
Olmesartan medoxomilo + Hidroclorotiazida,Olmesartan medoxomilo + Hidroclorotiazida toLife,Comprimido revestido por película,40 mg + 12.5 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Não Comercializado
Estriol,Pausigin,Creme vaginal,0.125 mg/g,"Angelini Pharma Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Olanzapina,Olanzapina Alter,Comprimido revestido por película,5 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Olanzapina,Olanzapina Alter,Comprimido revestido por película,10 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Metoclopramida,Primperan,Solução injetável,10 mg/2 ml,"Sanofi - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Ropinirol,Ropinirol Mylan,Comprimido revestido por película,1 mg,"Mylan, Lda.",Sim,Autorizado,Comercializado
Risperidona,Risperidona Bluepharma,Comprimido revestido por película,6 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Não Comercializado
Ibuprofeno,Ibuprofeno Pensavital,Comprimido revestido por película,400 mg,"Towa Pharmaceutical, S.A.",Sim,Autorizado,Não Comercializado
Valsartan,Valsartan Farmoz,Comprimido revestido por película,160 mg,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Topotecano,Topotecano Hospira,Concentrado para solução para perfusão,4 mg/4 ml,Pfizer Europe MA EEIG,Não,Autorizado,Não Comercializado
Solifenacina,Solifenacina Tamarang,Comprimido revestido por película,5 mg,"Tamarang, S.A.",Sim,Autorizado,Não Comercializado
Ácido ibandrónico,Ácido Ibandrónico Teva,Comprimido revestido por película,50 mg,Teva B.V.,Sim,Autorizado,Não Comercializado
Levetiracetam,Levetiracetam Generis,Comprimido revestido por película,1000 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Montelucaste,Montelucaste Ratiopharm,Granulado,4 mg,"Ratiopharm - Comércio e Indústria de Produtos Farmacêuticos, Lda.",Sim,Autorizado,Comercializado
Acetato de eslicarbazepina,Zebinix,Comprimido,600 mg,"Bial - Portela & Cª, S.A.",Não,Autorizado,Não Comercializado
Buprenorfina,Ramatrix,Sistema transdérmico,70 µg/h,"Tecnimede - Sociedade Técnico-Medicinal, S.A.",Não,Autorizado,Não Comercializado
Palonossetrom,Aloxi,Cápsula mole,500 µg,"Helsinn Birex Pharmaceuticals, Ltd.",Não,Autorizado,Não Comercializado
Risperidona,Risperidona Bluepharma,Comprimido revestido por película,0.5 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Não Comercializado
Solifenacina,Solifenacina Tamarang,Comprimido revestido por película,10 mg,"Tamarang, S.A.",Sim,Autorizado,Não Comercializado
Abiraterona,Abiraterona Zentiva,Comprimido revestido por película,500 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Bilastina,Lergonix,"Colírio, solução",6 mg/ml,"Menarini International Operations Luxembourg, S.A.",Não,Autorizado,Comercializado
Pravastatina + Fenofibrato,Pravafenix,Cápsula,40 mg + 160 mg,Laboratoires SMB S.A.,Não,Autorizado,Comercializado
Metformina,Siofor XR,Comprimido de libertação prolongada,500 mg,"A. Menarini Portugal - Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Azacitidina,Azacitidina Hikma,Pó para suspensão injetável,100 mg,"Hikma Farmacêutica (Portugal), S.A.",Sim,Autorizado,Comercializado
Beclometasona + Formoterol + Brometo de glicopirrónio,Trimbow,Solução pressurizada para inalação,Associação,"Chiesi Farmaceutici, S.p.A.",Não,Autorizado,Não Comercializado
Raltegravir,Isentress,Comprimido revestido por película,600 mg,Merck Sharp & Dohme B.V.,Não,Autorizado,Comercializado
Levetiracetam,Laurak,Solução oral,100 mg/ml,"Neuraxpharm Spain, S.L.U.",Sim,Autorizado,Comercializado
Vildagliptina,Vildagliptina Zentiva,Comprimido,50 mg,"Zentiva Portugal, Lda.",Sim,Autorizado,Comercializado
Metilfenidato,Metilfenidato Ciclum,Cápsula de libertação modificada,10 mg,"Ciclum Farma Unipessoal, Lda.",Sim,Autorizado,Comercializado
Bisacodilo,Dulcolax,Comprimido revestido,5 mg,"Opella Healthcare Portugal, Unipessoal Lda",Não,Autorizado,Comercializado
Brometo de pinavério,Dicetel,Comprimido revestido por película,50 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Gluconato de cálcio,Gluconato de Cálcio 10% B. Braun,Solução injetável,94 mg/ml,B. Braun Melsungen A.G.,Não,Autorizado,Comercializado
Fluvoxamina,Dumyrox,Comprimido revestido por película,100 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Comercializado
Diazepam,Diazepam Labesfal,Comprimido,5 mg,"Generis Farmacêutica, S.A.",Não,Autorizado,Comercializado
Lacosamida,Lacosamida Intas,Comprimido revestido por película,50 mg,"Intas Third Party Sales 2005, S.L.",Sim,Autorizado,Não Comercializado
Loperamida,Diastrolib,Comprimido revestido,2 mg,Teva B.V.,Sim,Autorizado,Comercializado
Sildenafil,Sildenafil Odipe,Comprimido revestido por película,50 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Tecnécio (99mTc) ácido pentético,TechneScan DTPA,Pó para solução injetável,25 mg,Curium Netherlands B.V.,Não,Autorizado,Comercializado
Paricalcitol,Zemplar,Cápsula mole,1 µg,"Abbvie, Lda.",Não,Autorizado,Comercializado
Sildenafil,Sildenafil Odipe,Comprimido revestido por película,100 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Levofolinato de cálcio,Levofolinato de Cálcio Farmoz,Solução injetável,10 mg/ml,"Farmoz - Sociedade Técnico Medicinal, S.A.",Sim,Autorizado,Comercializado
Paricalcitol,Zemplar,Cápsula mole,2 µg,"Abbvie, Lda.",Não,Autorizado,Comercializado
Água para preparações injectáveis,Água para Injectáveis Ph. Eur.,Solvente/Veículo para uso parentérico,100 %,"Baxter Médico-Farmacêutica, Lda.",Não,Autorizado,Comercializado
Darbepoetina alfa,Aranesp,Solução injetável em seringa pré-cheia,150 µg/0.3 ml,"Amgen Europe, B.V.",Não,Autorizado,Comercializado
Sildenafil,Sildenafil Odipe,Comprimido revestido por película,25 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Bluepharma,Comprimido revestido por película,90 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Etoricoxib,Etoricoxib Bluepharma,Comprimido revestido por película,120 mg,Bluepharma Genéricos - Comércio de Medicamentos S.A.,Sim,Autorizado,Comercializado
Etoricoxib,Etoricoxib Pharmakern,Comprimido revestido por película,30 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Sertaconazol,Dermofix,Pó cutâneo,20 mg/g,"Ferrer Portugal, S.A.",Não,Autorizado,Comercializado
Emtricitabina + Tenofovir,Emtricitabina + Tenofovir Generis,Comprimido revestido por película,200 mg + 245 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Etoricoxib,Etoricoxib Pharmakern,Comprimido revestido por película,60 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Comercializado
Levetiracetam,Levetiracetam Neogen,Solução para perfusão,5 mg/ml,"Neogen, N.V.",Não,Autorizado,Não Comercializado
Valeriana,Valdispert,Comprimido revestido,125 mg,Vemedia Manufacturing B.V.,Não,Autorizado,Comercializado
Etoricoxib,Etoricoxib Pharmakern,Comprimido revestido por película,90 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Comercializado
Etoricoxib,Etoricoxib Pharmakern,Comprimido revestido por película,120 mg,"Pharmakern Portugal - Produtos Farmacêuticos, Sociedade Unipessoal, Lda.",Sim,Autorizado,Não Comercializado
Tadalafil,Tadalafil Bluescience,Comprimido revestido por película,2.5 mg,"BlueScience, Unipessoal Lda",Sim,Autorizado,Não Comercializado
Trastuzumab,Trazimera,Pó para concentrado para solução para perfusão,150 mg,Pfizer Europe MA EEIG,Não,Autorizado,Comercializado
Etoricoxib,Etoricoxib Stindrol,Comprimido revestido por película,30 mg,"Laboratórios Basi - Indústria Farmacêutica, S.A",Sim,Autorizado,Não Comercializado
Clotrimazol,Clotrimazol Labialfarma,Creme vaginal,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",Sim,Autorizado,Não Comercializado
Clotrimazol,Holginec,Creme vaginal,10 mg/g,"Labialfarma - Laboratório de Produtos Farmacêuticos e Nutracêuticos, S.A.",Sim,Autorizado,Comercializado
Omeprazol,Omeprazol Ciclum 40 mg Cápsula gastrorresistentes,Cápsula gastrorresistente,40 mg,"Ciclum Farma Unipessoal, Lda.",Não,Autorizado,Não Comercializado
Emtricitabina + Tenofovir,Emtricitabina + Tenofovir Generis Phar,Comprimido revestido por película,200 mg + 245 mg,"Generis Phar, Unipessoal Lda.",Sim,Autorizado,Não Comercializado
Sitagliptina,Sitagliptina Tecnigen,Comprimido revestido por película,25 mg,"Biofarmoz - Sociedade Técnico Medicinal, Unip. Lda.",Sim,Autorizado,Não Comercializado
Atomoxetina,Atomoxetina Generis,Cápsula,40 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Atomoxetina,Atomoxetina Generis,Cápsula,60 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Generis,Comprimido revestido por película,500 mg + 125 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Amoxicilina + Ácido clavulânico,Amoxicilina + Ácido Clavulânico Generis,Comprimido revestido por película,875 mg + 125 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Glimepirida,Glimepirida Generis,Comprimido,3 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Tobramicina,Tobramicina PARI,Solução para inalação por nebulização,170 mg/1.7 ml,PARI Pharma GmbH,Não,Autorizado,Não Comercializado
Azacitidina,Azacitidina betapharm,Pó para suspensão injetável,100 mg,Betapharm Arzneimittel GmbH,Sim,Autorizado,Comercializado
Cinacalcet,Cinacalcet Accordpharma,Comprimido revestido por película,30 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Dexcetoprofeno,Dexcetoprofeno Accord,Solução injetável ou concentrado para solução para perfusão,50 mg/2 ml,"Accord Healthcare, S.L.U.",Sim,Autorizado,Não Comercializado
Glimepirida,Glimepirida Generis,Comprimido,1 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Iodopovidona + Etanol,Betadine Alcoólica Dérmica,Penso impregnado,200 mg + 2.88 ml,"BGP Products, Unipessoal Lda.",Não,Autorizado,Não Comercializado
Glimepirida,Glimepirida Generis,Comprimido,2 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Glimepirida,Glimepirida Generis,Comprimido,4 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Silimarina,Legalon,Cápsula,70 mg,"BGP Products, Unipessoal Lda.",Não,Autorizado,Não Comercializado
Lopinavir + Ritonavir,Kaletra,Comprimido revestido por película,200 mg + 50 mg,AbbVie Deutschland GmbH & Co. KG,Não,Autorizado,Comercializado
Levetiracetam,Levetiracetam Tecnigen,Comprimido revestido por película,250 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Levetiracetam,Levetiracetam Tecnigen,Comprimido revestido por película,500 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Levetiracetam,Levetiracetam Tecnigen,Comprimido revestido por película,1000 mg,"Pentafarma - Sociedade Técnico-Medicinal, S.A.",Sim,Autorizado,Comercializado
Clozapina,Clozapina Aurovitas,Comprimido,100 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Indometacina,Autritis,Solução cutânea,10 mg/ml,"Farma 1000 - Prod. Farmacêuticos, Lda.",Não,Autorizado,Não Comercializado
Hidroxocobalamina,Cyanokit,Pó para solução para perfusão,2.5 g,SERB S.A.,Não,Autorizado,Não Comercializado
Paliperidona,Paliperidona Alter,Comprimido de libertação prolongada,3 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Paliperidona,Paliperidona Alter,Comprimido de libertação prolongada,6 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Paliperidona,Paliperidona Alter,Comprimido de libertação prolongada,9 mg,"Alter, S.A.",Sim,Autorizado,Comercializado
Somatostatina,Somatostatina Normon,Pó e solvente para solução para perfusão,0.25 mg/1 ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Somatostatina,Somatostatina Normon,Pó e solvente para solução para perfusão,6 mg/1 ml,"Laboratórios Normon, S.A.",Sim,Autorizado,Não Comercializado
Paroxetina,Zanoxina,Comprimido revestido por película,20 mg,"Owlpharma - Consulting, Lda.",Sim,Autorizado,Não Comercializado
Estriol,Blissel,Gel vaginal,50 µg/g,"Italfarmaco - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Irinotecano,Irinotecano Novumgen,Concentrado para solução para perfusão,300 mg/15 ml,Novumgen Limited,Sim,Autorizado,Não Comercializado
Quetiapina,Quetiapina Alter,Comprimido revestido por película,50 mg,"Alter, S.A.",Não,Autorizado,Comercializado
Ibrutinib,Imbruvica,Cápsula,140 mg,Janssen-Cilag International N.V.,Não,Autorizado,Comercializado
Telmisartan,Kinzalmono,Comprimido,20 mg,Bayer AG,Não,Autorizado,Não Comercializado
Linezolida,Linezolida Accord,Comprimido revestido por película,600 mg,"Accord Healthcare, S.L.U.",Sim,Autorizado,Comercializado
Diclofenac,Olfenex Artic,Gel,20 mg/g,"Teva Pharma - Produtos Farmacêuticos, Lda.",Não,Autorizado,Comercializado
Gabapentina,Gabapentina Generis Phar,Cápsula,300 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Gabapentina,Gabapentina Sasivan,Comprimido revestido por película,600 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Gabapentina,Gabapentina Sasivan,Comprimido revestido por película,800 mg,"Sandoz Farmacêutica, Lda.",Sim,Autorizado,Não Comercializado
Brimonidina + Timolol,Combigan,"Colírio, solução",2 mg/ml + 5 mg/ml,"Abbvie, Lda.",Não,Autorizado,Comercializado
Ácido ibandrónico,Ácido Ibandrónico Generis,Comprimido revestido por película,150 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Não Comercializado
Mifamurtida,Mepact,Pó para suspensão para perfusão,4 mg,Takeda France SAS,Não,Autorizado,Não Comercializado
Pregabalina,Pregabalina Generis,Cápsula,300 mg,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Aripiprazol,Aripiprazol Aurovitas,Solução oral,1 mg/ml,"Generis Farmacêutica, S.A.",Sim,Autorizado,Comercializado
Prednisolona,Frisolona Forte,"Colírio, suspensão",10 mg/ml,"Abbvie, Lda.",Não,Autorizado,Comercializado
Aripiprazol,Arpixor,Comprimido,5 mg,"Neuraxpharm Spain, S.L.U.",Sim,Autorizado,Comercializado
Olanzapina,Olanzapina Germed,Comprimido revestido,2.5 mg,"Omnicals Pharma, Unipessoal Lda",Sim,Autorizado,Não Comercializado
